H,S,V,Label
35.4404,128.7384,236.7416,Yellow
33.492,75.8552,255.0,Yellow
34.6768,119.04,240.56,Yellow
33.492,72.892,255.0,Yellow
34.2624,92.4248,254.6412,Yellow
35.8844,78.8012,255.0,Yellow
33.5132,79.5252,255.0,Yellow
34.0508,82.4952,255.0,Yellow
33.6804,72.1268,254.98,Yellow
34.6268,107.0596,245.6744,Yellow
34.5112,115.9036,244.526,Yellow
34.1512,131.2976,233.4612,Yellow
34.338,121.2516,239.3188,Yellow
35.0688,109.7176,248.3008,Yellow
34.7544,98.3468,255.0,Yellow
33.5912,97.2036,255.0,Yellow
33.558,95.196,255.0,Yellow
35.2912,81.3516,255.0,Yellow
34.0576,92.1328,254.9948,Yellow
33.5436,78.7668,255.0,Yellow
34.1312,76.8,255.0,Yellow
35.7224,68.1176,255.0,Yellow
33.91,81.8048,255.0,Yellow
33.7704,81.1212,255.0,Yellow
35.0332,67.8564,255.0,Yellow
33.7828,84.8352,254.8828,Yellow
33.4848,85.0716,255.0,Yellow
34.3704,79.1652,255.0,Yellow
34.2304,71.536,255.0,Yellow
33.5056,75.9988,255.0,Yellow
34.0364,91.2212,255.0,Yellow
33.8156,72.708,255.0,Yellow
33.9388,73.044,255.0,Yellow
33.556,84.2592,255.0,Yellow
35.9416,76.3216,254.9996,Yellow
33.956,85.194,254.9972,Yellow
34.0168,92.4508,254.978,Yellow
33.6596,87.5312,255.0,Yellow
35.6484,67.9856,255.0,Yellow
34.852,65.0232,255.0,Yellow
33.8504,96.4176,254.8476,Yellow
33.4988,69.3348,255.0,Yellow
33.9704,85.1912,255.0,Yellow
34.4872,78.1768,254.9832,Yellow
34.4632,76.2216,252.542,Yellow
33.5152,85.5364,255.0,Yellow
35.2652,78.1776,254.9988,Yellow
34.4536,77.6184,255.0,Yellow
33.5928,81.8984,255.0,Yellow
33.8428,90.6656,254.9828,Yellow
33.7596,90.0804,255.0,Yellow
35.392,108.3392,249.3852,Yellow
35.7148,94.524,253.84,Yellow
34.4048,76.5368,254.7432,Yellow
33.4936,82.388,255.0,Yellow
33.9016,97.4276,254.5156,Yellow
34.2548,106.1896,252.2784,Yellow
35.7244,78.1232,254.9692,Yellow
34.9432,76.2216,255.0,Yellow
33.6052,83.004,255.0,Yellow
33.554,84.8552,255.0,Yellow
33.6148,84.364,255.0,Yellow
33.6316,84.6472,255.0,Yellow
33.8044,89.1136,255.0,Yellow
35.426,92.5132,254.2688,Yellow
35.3416,72.8168,254.5584,Yellow
34.0176,100.068,254.5404,Yellow
35.108,76.0244,255.0,Yellow
36.2272,73.6616,255.0,Yellow
36.1764,76.894,255.0,Yellow
33.7248,90.2556,255.0,Yellow
34.9244,67.832,255.0,Yellow
33.5772,89.9812,254.9988,Yellow
33.5864,79.6616,254.9984,Yellow
35.5296,65.406,255.0,Yellow
35.0268,90.1348,254.7688,Yellow
33.514,80.5504,255.0,Yellow
34.2692,95.5872,254.9596,Yellow
33.4936,71.6044,255.0,Yellow
36.4152,70.5408,255.0,Yellow
33.6692,79.6176,255.0,Yellow
35.7572,71.1712,255.0,Yellow
34.4248,77.022,254.9588,Yellow
33.578,80.8308,255.0,Yellow
33.8892,92.714,254.9668,Yellow
34.4156,97.1944,254.7768,Yellow
33.834,85.4472,254.9872,Yellow
36.1588,80.2856,255.0,Yellow
36.5856,80.2012,254.9284,Yellow
33.8172,95.8544,254.5336,Yellow
34.052,99.4928,254.7192,Yellow
21.7488,156.0336,255.0,Orange
20.7428,161.4,255.0,Orange
42.8388,149.066,196.7444,Orange
20.868,142.8024,255.0,Orange
19.2952,136.2592,254.9988,Orange
20.7248,105.6388,255.0,Orange
21.3632,136.9768,255.0,Orange
22.4788,143.8592,255.0,Orange
20.4116,158.458,255.0,Orange
22.1844,152.9292,255.0,Orange
19.7004,152.0884,255.0,Orange
20.328,137.046,255.0,Orange
19.5952,164.0892,255.0,Orange
20.5396,162.6416,255.0,Orange
21.4864,155.276,255.0,Orange
22.7376,139.8788,255.0,Orange
22.2032,111.46,255.0,Orange
18.3508,161.0156,255.0,Orange
22.3844,105.7452,255.0,Orange
21.8592,137.2972,255.0,Orange
20.9368,120.2812,255.0,Orange
20.2072,132.4052,255.0,Orange
20.2848,162.51,255.0,Orange
22.5364,151.8144,255.0,Orange
21.4036,152.9624,255.0,Orange
22.3,103.7532,255.0,Orange
19.0204,159.6768,255.0,Orange
17.724,171.1744,255.0,Orange
